league,Action,Drittel,Lines For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against,team_for,team_against
International Men,ZOE Gegner: 1,D1,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 2,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 3,D1,L2,5:5,,,Auslösung,,,Bad,Pixbo,Florbal MB
International Men,ZOE Gegner: 4,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 5,D1,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 6,D1,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 7,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 8,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 9,D1,L3,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 10,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 11,D1,L1,5:5,,,Auslösung,,,Bad,Pixbo,Florbal MB
International Men,ZOE Gegner: 12,D1,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 13,D1,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 14,D2,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 15,D2,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 16,D2,L3,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 17,D2,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 18,D2,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 19,D2,L3,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 20,D3,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 21,D3,L1,5:5,,,Auslösung,,,Bad,Pixbo,Florbal MB
International Men,ZOE Gegner: 22,D3,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 23,D3,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 24,D3,L1,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,ZOE Gegner: 25,D3,L2,5:5,,,Auslösung,,,Good,Pixbo,Florbal MB
International Men,Low Q Chance Against: 1,,L1,5:5,Handgelenk,Auf Tor,Auslösung,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 2,D1,L2,5:5,Handgelenk,Auf Tor,Konter,0.30,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 3,D1,L1,5:5,Handgelenk,Auf Tor,Auslösung,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 4,D1,L2,5:5,Direkt,Neben Tor,Festsetzen,0.30,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 5,D1,L2,5:5,Gezogen,Auf Tor,Festsetzen,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 6,D1,L1,5:5,Direkt,Geblockt,Festsetzen,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 7,D2,L1,5:5,Gezogen,,Konter,0.40,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 8,D2,L2,5:5,Gezogen,Geblockt,Auslösung,0.30,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 9,D2,L2,5:5,Handgelenk,Auf Tor,Konter,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 10,D2,L2,5:5,Direkt,Geblockt,Festsetzen,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 11,D3,L1,5:5,Gezogen,Geblockt,Auslösung,0.10,,,Pixbo,Florbal MB
International Men,Low Q Chance Against: 12,D3,L1,5:5,Gezogen,Neben Tor,Standart,0.15,,,Pixbo,Florbal MB
International Men,ZOE For: 1,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 2,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 3,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 4,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 5,D1,L3,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 6,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 7,D1,L2,5:5,,,Auslösung,,Bad,,Pixbo,Florbal MB
International Men,ZOE For: 8,D1,L2,5:5,,,Auslösung,,Bad,,Pixbo,Florbal MB
International Men,ZOE For: 9,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 10,D2,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 11,D2,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For: 12,D3,L2,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,Tor Tigers: 1,D1,L2,5:5,Gezogen,,Auslösung,0.35,,,Pixbo,Florbal MB
International Men,Tor Tigers: 2,D1,PP1,5:4,Direkt,Auf Tor,,0.70,,,Pixbo,Florbal MB
International Men,Tor Tigers: 3,D1,L2,5:5,,,Konter,0.80,,,Pixbo,Florbal MB
International Men,Tor Tigers: 4,D1,L1,5:5,,,Standart,0.40,,,Pixbo,Florbal MB
International Men,Tor Tigers: 5,D2,PP1,5:4,Direkt,,,0.60,,,Pixbo,Florbal MB
International Men,Tor Tigers: 6,D3,PP1,5:4,Direkt,,,0.40,,,Pixbo,Florbal MB
International Men,Tor Tigers: 7,D3,L1,5:5,Direkt,,Auslösung,0.80,,,Pixbo,Florbal MB
International Men,Tor Tigers: 8,D3,L1,5:6,Direkt,,,0.35,,,Pixbo,Florbal MB
International Men,Tor Tigers: 9,D3,L1,5:6,Gezogen,,,0.40,,,Pixbo,Florbal MB
International Men,Nachsetzen For: 1,D1,L1,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,Zone-Exits Against: 1,D1,L2,5:5,,,Zone-Exits,,Bad,,Pixbo,Florbal MB
International Men,Mid Q Chance For: 1,D1,L1,5:5,,,Auslösung,0.40,,,Pixbo,Florbal MB
International Men,Mid Q Chance For: 2,D2,L1,5:5,Direkt,Neben Tor,Festsetzen,0.45,,,Pixbo,Florbal MB
International Men,Mid Q Chance For: 3,D2,L1,5:5,Handgelenk,Auf Tor,Forechecking,0.50,,,Pixbo,Florbal MB
International Men,Mid Q Chance For: 4,D3,L1,5:5,Direkt,,Festsetzen,0.40,,,Pixbo,Florbal MB
International Men,Pot + Chance Against: 1,D1,L3,5:5,,,Auslösung,0.40,,,Pixbo,Florbal MB
International Men,Pressing For: 1,D1,L3,5:5,,,Pressing,,Good,,Pixbo,Florbal MB
International Men,Pressing For: 2,D2,L1,5:5,,,Pressing,,Good,,Pixbo,Florbal MB
International Men,ZOE Against gg. Pressing: 1,D1,L3,5:5,,,Auslösung,,Bad,,Pixbo,Florbal MB
International Men,ZOE Against gg. Pressing: 2,D2,L2,5:5,,,Auslösung,,Bad,,Pixbo,Florbal MB
International Men,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Auf Tor,Auslösung,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Geblockt,Auslösung,,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 3,D1,L1,5:5,Gezogen,Geblockt,Auslösung,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 4,D1,L1,5:5,Direkt,,Konter,0.30,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 5,D1,L2,5:5,Direkt,Auf Tor,Konter,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Geblockt,Festsetzen,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 7,D2,L1,5:5,Direkt,Geblockt,Standart,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 8,D2,L2,5:5,Gezogen,Neben Tor,Auslösung,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 9,D2,L1,5:5,Direkt,Neben Tor,Standart,0.25,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 10,D2,L1,5:5,Gezogen,Neben Tor,Festsetzen,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 11,D3,L2,5:5,Handgelenk,Geblockt,Auslösung,0.20,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 12,D3,L2,5:5,Gezogen,Auf Tor,Standart,0.15,,,Pixbo,Florbal MB
International Men,Low Q Chance For: 13,D3,L1,5:5,Gezogen,Geblockt,Auslösung,0.10,,,Pixbo,Florbal MB
International Men,Skills: 1,,,,,,,,,,Pixbo,Florbal MB
International Men,Skills: 2,,,,,,,,,,Pixbo,Florbal MB
International Men,Skills: 3,,,,,,,,,,Pixbo,Florbal MB
International Men,Skills: 4,,,,,,,,,,Pixbo,Florbal MB
International Men,Skills: 5,,,,,,,,,,Pixbo,Florbal MB
International Men,Skills: 6,,,,,,,,,,Pixbo,Florbal MB
International Men,Tor Gegner: 1,,L2,5:5,,,Konter,0.40,,,Pixbo,Florbal MB
International Men,Tor Gegner: 2,D1,L1,5:5,,,Standart,0.55,,,Pixbo,Florbal MB
International Men,Tor Gegner: 3,D1,L2,5:5,Gezogen,,Festsetzen,0.20,,,Pixbo,Florbal MB
International Men,Tor Gegner: 4,D2,PP1,5:4,,,,0.35,,,Pixbo,Florbal MB
International Men,Tor Gegner: 5,D2,PP1,5:4,Direkt,,,0.35,,,Pixbo,Florbal MB
International Men,Tor Gegner: 6,D3,L2,5:5,Direkt,,Festsetzen,0.30,,,Pixbo,Florbal MB
International Men,Pressing Against: 1,D1,L1,5:5,,,Pressing,,Bad,,Pixbo,Florbal MB
International Men,Pressing Against: 2,D1,L2,5:5,,,Pressing,,Good,,Pixbo,Florbal MB
International Men,ZOE For gg. Pressing : 1,D1,L3,5:5,,,Auslösung,,Good,,Pixbo,Florbal MB
International Men,ZOE For gg. Pressing : 2,D1,L2,5:5,,,Auslösung,,Bad,,Pixbo,Florbal MB
International Men,Note: 1,,,,,,,,,,Pixbo,Florbal MB
International Men,Mid Q Chance Against: 1,D1,L1,5:5,Direkt,,Auslösung,0.40,,,Pixbo,Florbal MB
International Men,Mid Q Chance Against: 2,D2,L1,5:5,Handgelenk,Auf Tor,Konter,0.40,,,Pixbo,Florbal MB
International Men,PP Shot Against: 1,,PP1,5:4,Direkt,Neben Tor,,0.30,,,Pixbo,Florbal MB
International Men,PP Shot Against: 2,,PP1,5:4,,,,0.30,,,Pixbo,Florbal MB
International Men,Nachsetzen Against: 1,D2,L1,5:5,,,Nachsetzen,,Good,,Pixbo,Florbal MB
International Men,Nachsetzen Against: 2,"D3, D3",L1,"5:5, 5:5",,,"Nachsetzen, Zone-Exits",,Bad,,Pixbo,Florbal MB
International Men,Zone-Exits For: 1,,L1,5:5,,,Zone-Exits,,Bad,,Pixbo,Florbal MB
International Men,Zone-Exits For: 2,D3,L1,5:5,,,Zone-Exits,,Good,,Pixbo,Florbal MB
International Men,High Q Chance For: 1,D2,L2,5:5,,,Auslösung,0.70,,,Pixbo,Florbal MB
International Men,PP Shot For: 1,D3,PP1,5:4,Direkt,Geblockt,,0.40,,,Pixbo,Florbal MB
International Men,PP Shot For: 2,D3,PP1,5:4,Direkt,Auf Tor,,0.40,,,Pixbo,Florbal MB
